DATE_FROM,DATE_TO,PRODUCT_TYPE,TENDER_NUMBER,PRODUCTNAME,CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AUSTRIA_DEMAND_[MW],AUSTRIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AUSTRIA_DEFICIT(-)_SURPLUS(+)_[MW],BELGIUM_DEMAND_[MW],BELGIUM_SETTLEMENTCAPACITY_PRICE_[EUR/MW],BELGIUM_DEFICIT(-)_SURPLUS(+)_[MW],DENMARK_DEMAND_[MW],DENMARK_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DENMARK_DEFICIT(-)_SURPLUS(+)_[MW],FRANCE_DEMAND_[MW],FRANCE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],FRANCE_DEFICIT(-)_SURPLUS(+)_[MW],GERMANY_DEMAND_[MW],GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],GERMANY_DEFICIT(-)_SURPLUS(+)_[MW],NETHERLANDS_DEMAND_[MW],NETHERLANDS_SETTLEMENTCAPACITY_PRICE_[EUR/MW],NETHERLANDS_DEFICIT(-)_SURPLUS(+)_[MW],SLOVENIA_DEMAND_[MW],SLOVENIA_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SLOVENIA_DEFICIT(-)_SURPLUS(+)_[MW],SWITZERLAND_DEMAND_[MW],SWITZERLAND_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SWITZERLAND_DEFICIT(-)_SURPLUS(+)_[MW]
01/01/2022,01/01/2022,FCR,1,NEGPOS_00_04,188,73,188,-43,86,"293,08",-60,22,188,-12,489,"177,32",146,555,188,43,116,188,-40,15,188,-8,64,188,-12
01/01/2022,01/01/2022,FCR,1,NEGPOS_04_08,168,73,168,-43,86,"267,48",-60,22,168,-12,489,"8,96",146,555,168,33,116,168,-40,15,168,-8,64,168,-16
01/01/2022,01/01/2022,FCR,1,NEGPOS_08_12,99,73,99,-39,86,"171,44",-60,22,99,-14,489,"67,64",146,555,99,34,116,99,-40,15,99,-13,64,99,-14
01/01/2022,01/01/2022,FCR,1,NEGPOS_12_16,"96,43",73,"96,43",-39,86,"200,56",-60,22,"96,43",-14,489,"96,43",108,555,"96,43",54,116,"96,43",-40,15,"96,43",-9,64,"96,43",0
01/01/2022,01/01/2022,FCR,1,NEGPOS_16_20,"48,4",73,"48,4",-39,86,"188,36",-60,22,"48,4",-14,489,"48,4",125,555,"48,4",30,116,"48,4",-40,15,"48,4",-6,64,"48,4",4
01/01/2022,01/01/2022,FCR,1,NEGPOS_20_24,"115,17",73,"115,17",-43,86,"167,6",-60,22,"115,17",-13,489,"115,17",132,555,"115,17",44,116,"115,17",-40,15,"115,17",-7,64,"115,17",-13
02/01/2022,02/01/2022,FCR,1,NEGPOS_00_04,185,73,185,-43,86,"273,84",-60,22,185,-12,489,"130,76",146,555,185,21,116,185,-40,15,185,-8,64,185,-4
02/01/2022,02/01/2022,FCR,1,NEGPOS_04_08,165,73,165,-43,86,"290,12",-60,22,165,-12,489,"65,24",146,555,165,28,116,165,-40,15,165,-8,64,165,-11
02/01/2022,02/01/2022,FCR,1,NEGPOS_08_12,"118,83",73,"118,83",-28,86,"234,68",-60,22,"118,83",-13,489,"118,83",85,555,"118,83",72,116,"118,83",-40,15,"118,83",-7,64,"118,83",-9
02/01/2022,02/01/2022,FCR,1,NEGPOS_12_16,136,73,136,-28,86,"238,32",-60,22,136,-13,489,136,64,555,136,92,116,136,-40,15,136,-6,64,136,-9
